Cluster,Total Image,Top 1,Percent,Image Display,Top 2,Percent,Image Display
0,864,N35,51.85,,Unknown,5.32,
1,204,O50,48.04,,W24,14.71,
2,200,S29,100,,,,
3,230,G17,53.91,,G1,14.35,
4,55,V28,65.45,,S34,14.55,
5,54,D54,22.22,,G7/Unknown,18.52,
6,206,Q3,33.98,,Unknown,17.96,
7,208,X1,85.1,,E34,12.98,
8,91,G17,76.92,,G35,8.76,
9,212,M17,81.13,,U33/M18,4.25,
10,172,Unknown,14.53,,O1,11.63,
11,63,D58,52.38,,Q1,26.98,
12,288,M17,28.13,,S29,22.57,
13,142,G43,100,,,,
14,33,M23,100,,,,
15,89,E34,100,,,,
16,47,I10,87.23,,Unknown,6.38,
17,154,I9,92.21,,F18,3.25,
18,55,D35,100,,,,
19,251,D21,61.35,,D4,14.34,
20,110,R8,59.09,,M17,,
21,97,M17,96.91,,Unknown,2.06,
22,150,V31,87.33,,F13/V30,5.33,
23,65,V13,80,,N37/Z7,6.15,
24,51,G43,100,,,,
25,69,G25,39.13,,G39,23.19,
26,50,Z1,90,,W24,4,
